94,平衡修護奇蹟膠 Dramatically Different Moisturizing Gel,27,54,1850,"肌膚類型混和肌, 非常油肌
穩定膚況神隊友
地表最強保濕屏障修護
無油凝膠，還原油水平衡，倩碧經典天才小黃瓶， 清爽好吸收的凝膠質地，最適合敏感肌的保濕保養乳液 親膚鎖水配方，
每天使用兩次，可藉由複製健康肌膚的油水平衡修護皮膚，重現光透潤澤"
95,天才超緊無痕眼霜 Clinique Smart Clinical Repair Wrinkle Correcting Eye Cream,27,55,2200,"專利抗老配方可減少細紋浮現。針對眼周不同類型紋路設計，4周緊緻眼周肌膚，撫平眼周細紋和暗沉，使眼周肌膚更年輕、
更強壯、更明亮。無香精且不刺激，隱形眼鏡配戴者友好。"
96,水磁場微分子保濕精華 Moisture Surge Hydrating Supercharged Concentrate,27,53,1770,"適用於各種膚質
""清爽質地瞬間吸收，給予保水度爆棚的效果，不含油、無致敏成分，使用零負擔，給予肌膚最豐盈滋潤的呵護。
創新的極輕爽凝露配方與濃縮抗氧化成分，立即提供 179% 的保濕效果。
運用全新雙重作用的液體圓球科技 (Liquid-Sphere™Technology）及超保濕蓄水科技(Moisture Holding Super-Matrix)，
讓每一滴精華都可以層層深滲透到肌底養成保濕蓄水池，使用24小時後，持續讓肌膚變得更保濕 61%。"
97,DITOO PLUS像素藍牙喇叭,28,71,2280,外觀設計向台個人電腦，無論是機械鍵盤和功能槓桿，皆具有很強的設計感：這不僅是向80後純真年代致敬，更將復古及科技元素連結，創造出美好的科技生活。
98,超激光勻淨白淡斑精粹 Even Better Clinical™ Radical Dark Spot Corrector + Interrupter,27,56,3650,"肌膚類型敏感肌, 非常乾肌, 乾性肌, 抗老肌 , 混和肌, 非常油肌, 油性肌
No.1臨床實證強效淡斑
更防禦!超淨膚!極淡斑!
專利成分CL302撐起抗氧防護罩
1滴修護保濕 7天擊潰痘疤斑點
精準鎖定各種斑點2周內看見勻淨透亮
4週內減少93%斑點
臉上有光的秘密
先修護 後淡化 再阻斷
專利CL302極光C勻亮科技
結合極光C 亮白因子(CL-302 Complex Components)及黑色素阻斷複合物(Interrupter Complex)，溫和代謝，勻淨斑點，層層舒緩黑色素生成，穩定肌底，開啟美白正循環，肌膚由裡而外白、淨、透、亮。"
99,Marshall Stanmore II 藍牙喇叭,29,71,16700,Stanmore II是 Marshall 系列喇叭中，多方位適用任何空間大小的代表。強大的聲音表現，由精選原件組成，兩個 15 瓦 D 類擴大器驅動高音單體，加上一個 50 瓦 D 類擴大器驅動重低音單體，讓 Stanmore II 即使在最高音量，也能保有乾淨又精準的聲音。 透過藍牙藍牙 5.0 與 QualcommaptX™，無線狀態下也能體驗立體聲效。
100,溫和保濕水 CONFORT TONIQUE 400 ML,30,52,2100,"溫和保濕水為乾性肌膚準備的凝狀保濕水。
保濕化妝水內含植物性乳蛋白(蜂蜜+甜杏仁萃取)，能有效補給肌膚水份，舒緩清潔後產生的不適與緊繃感，恬適宜人的淡雅香氛，
不刺激的質地，為乾性肌膚溫和地啟動之後保養品吸收的前導準備。
凝狀水感化粧水，濕敷使用後溫和舒適，肌膚水潤飽滿。"
101,超未來肌因冰珠亮眼粹 GENIFIQUE LIGHT PEARL R22 B20ML,30,55,2980,"全新亮眼冰珠！ 360°轉走黑眼圈
一轉緊緻泡泡眼 一夜淡紋更發光
【BIO-7 微生態修護專利】注入小黑瓶獨家活性粹取，內含7大益生菌+益生質，可深入修護眼周肌底、平衡眼周肌膚微生態，全面強化眼周屏障，預防眼周老化！
【獨家亮眼修護複方】富含小球藻萃取、法國蕎麥子粹取、維他命C醣苷，可促進眼周微循環、抑制黑色素，有效擊退黑眼圈、泡泡眼、煥亮眼周。更添加玻尿酸成分，有效為眼周注水保濕、淡化細紋！
【專利360°彈力冰珠】使用醫療級白鋼材質，能立即冰鎮降溫3°C，有效改善黑眼圈、泡泡眼；結合業界唯一專利彈力按摩球設計，零死角精準貼合眼周，使每次按摩更穩定、更平均、更深層！"
102,超極光亮白保濕精華乳 BRIGHTENING REBALANCING WATERY EMULSION,30,54,3000,"全新超極光亮白保濕精華乳！注入極光水珍稀天然成份「
法國山毛櫸芽萃取」，能加速肌膚新生，使肌膚更加勻淨
透亮。獨特水感質地，具備水乳液般的輕盈，卻擁有精華
般的滋潤度。好吸收不黏膩，瞬間水潤保濕，加倍肌膚明
亮效果。"
103,絕對完美24K黃金玫瑰霜面膜,30,56,6500,"延續絕對完美黃金玫瑰霜自上市以來口碑爆棚的的絕佳質地與超強修護滋養力，蘭蔻又獨家研發出了「24K金玫瑰霜面膜」，
不僅一片富含整瓶玫瑰霜的活性能量，更搭載前所未見的24K金光璨複方與24K金導入材質，完美封存珍稀成分、超導修護肌底、完美貼合；
只要20分鐘，肌膚立現持久奇蹟光！"
